sample	file	group	replicate	sex	devstage	sname
forebrain_1	ERR2598051	forebrain	1	female	10wpc	5664sTS.Human.Forebrain.10w.Female	
forebrain_2	ERR2598069	forebrain	2	male	11wpc	2047sTS.Human.Forebrain.11w.Male	
forebrain_3	ERR2598070	forebrain	3	male	11wpc	2111sTS.Human.Forebrain.11w.Male	
forebrain_4	ERR2598071	forebrain	4	male	11wpc	5952sTS.Human.Forebrain.11w.Male	
forebrain_5	ERR2598072	forebrain	5	female	11wpc	5953sTS.Human.Forebrain.11w.Female	
forebrain_6	ERR2598089	forebrain	6	male	12wpc	5721sTS.Human.Forebrain.12w.Male	
forebrain_7	ERR2598102	forebrain	7	male	13wpc	5711sTS.Human.Forebrain.13w.Male	
forebrain_8	ERR2598103	forebrain	8	male	13wpc	5939sTS.Human.Forebrain.13w.Male	
forebrain_9	ERR2598104	forebrain	9	female	13wpc	5955sTS.Human.Forebrain.13w.Female	
forebrain_10	ERR2598120	forebrain	10	female	16wpc	5665sTSm.Human.Forebrain.16w.Female	
forebrain_11	ERR2598121	forebrain	11	male	16wpc	5951sTS.Human.Forebrain.16w.Male	
forebrain_12	ERR2598137	forebrain	12	male	18wpc	5667sTS.Human.Forebrain.18w.Male	
forebrain_13	ERR2598150	forebrain	13	male	19wpc	5960sTS.Human.Brain.19w.Male	
forebrain_14	ERR2598148	forebrain	14	male	19wpc	5768sTS.Human.Brain.19w.Male	
forebrain_15	ERR2598149	forebrain	15	female	19wpc	5782sTS.Human.Brain.19w.Female	
forebrain_16	ERR2598151	forebrain	16	male	19wpc	5668sTS.Human.Brain.20w.Male	
forebrain_17	ERR2598152	forebrain	17	female	19wpc	5770sTS.Human.Brain.20w.Female	
forebrain_18	ERR2598164	forebrain	18	male	4wpc	3587sTS.Human.Forebrain.CS13.Male	
forebrain_19	ERR2598165	forebrain	19	male	4wpc	5624sTS.Human.Forebrain.4w.Male	
forebrain_20	ERR2598166	forebrain	20	male	4wpc	6096sTS.Human.Forebrain.4w.Male	
forebrain_21	ERR2598180	forebrain	21	male	5wpc	3669sTS.Human.Forebrain.CS16.Male	
forebrain_22	ERR2598181	forebrain	22	female	5wpc	5628sTS.Human.Forebrain.5w.Female	
forebrain_23	ERR2598206	forebrain	23	male	7wpc	2026sTSm.Human.Forebrain.CS21.Male	
forebrain_24	ERR2598208	forebrain	24	male	7wpc	3636sTS.Human.Forebrain.CS21.Male	
forebrain_25	ERR2598207	forebrain	25	female	7wpc	3571sTS.Human.Forebrain.CS20.Female	
forebrain_26	ERR2598226	forebrain	26	female	8wpc	2034sTS.Human.Forebrain.CS22.Female	
forebrain_27	ERR2598229	forebrain	27	male	8wpc	2035sTSm.Human.Forebrain.8w.Male	
forebrain_28	ERR2598227	forebrain	28	male	8wpc	2080sTS.Human.Brain.CS23.Male	
forebrain_29	ERR2598228	forebrain	29	female	8wpc	2086sTSm.Human.Brain.CS23.Female	
forebrain_30	ERR2598250	forebrain	30	male	9wpc	2041sTSb.Human.Brain.9w.Male	
